Code;Name;Start Date;End Date;Code client;Holder;Signatory name;Signatory Level;Status
0000123;EADS METRIC - SOCATA;20061201;20091231;333007;SOCATA;N/A;N/A;80
0000312;E/2003/111 - ANNEX A & A1;20090301;20111231;333007;SOCATA;N/A;N/A;80
0000001;2005 AIRBUS CONTRACT -- SOGERMA;20050101;20081231;334007;SOGERMA;N/A;N/A;80
0000122;EADS METRIC - SOGERMA;20061201;20151231;334007;SOGERMA;N/A;N/A;80
0000179;E/2003/111 - ANNEX A & A1;20080101;20151231;334007;SOGERMA;N/A;N/A;80
0000184;E/2003/111 - ANNEX A1 (Double Anneal);20080101;20081231;334007;SOGERMA;N/A;N/A;80
0000190;E/2003/111 - ANNEX A1 (Price Break);20080101;20091231;334007;SOGERMA;N/A;N/A;80
0000195;E/2003/111 - ANNEX A2 (Eurofast PN);20080101;20081231;334007;SOGERMA;N/A;N/A;80
0000259;E/2003/111 - ANNEX A & A1;20090101;20151231;334007;SOGERMA;N/A;N/A;80
0000278;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;334007;SOGERMA;N/A;N/A;80
0000287;E/2003/111 _ ANNEXE A1 (a) _ RFP3;20090212;20151231;334007;SOGERMA;N/A;N/A;80
0000295;E/2003/111 _ ANNEXE A1 (a) _ RFP3;20090212;20151231;334007;SOGERMA;N/A;N/A;80
MODEL;MODEL FOR EU PLANTS (TYPE 001);20050101;20091231;50000;TYPICAL CUSTOMER FRANCAIS;N/A;N/A;10
0000218;AIP EUR APPENDIX 1;20080527;20110526;51170;AIP Italia S.p.A.;N/A;N/A;80
0000104;CONTRAT AVIO SPA TURIN & BRINDISI;20060308;20091231;53304;AVIO SPA;N/A;N/A;80
0000105;CONTRAT AVIO SPA POMIGLIANO;20060308;20091231;53304;AVIO SPA;N/A;N/A;80
0000309;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;55292;ASTRIUM GMBH;N/A;N/A;80
0000315;E/2003/111 - ANNEX A5;20090324;20151231;55292;ASTRIUM GMBH;N/A;N/A;80
0000310;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;55293;ASTRIUM GMBH;N/A;N/A;80
0000316;E/2003/111 - ANNEX A5;20090324;20151231;55293;ASTRIUM GMBH;N/A;N/A;80
0000321;2009 PRICING AGREEMENT;20090101;20111231;55348;AVIALL;N/A;N/A;80
0000026;TOP100 WEST;20050101;20091231;55515;AIRBUS OPERATIONS LTD;N/A;N/A;80
0000116;TOP100 WEST PHASE OUT;20050101;20091231;55515;AIRBUS OPERATIONS LTD;N/A;N/A;80
0000025;TOP100 EAST;20050101;20091231;55516;AIRBUS OPERATIONS LTD;N/A;N/A;80
0000115;TOP100 EAST PHASE OUT;20050101;20091231;55516;AIRBUS OPERATIONS LTD;N/A;N/A;80
0000215;CATIC LTA 2008;20080501;20120531;55738;AVIC INTERNATIONAL HOLDING CORP.;N/A;N/A;80
0000176;E/2003/111 - ANNEX A & A1;20080101;20151231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000181;E/2003/111 - ANNEX A1 (Double Anneal);20080101;20081231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000187;E/2003/111 - ANNEX A1 (Price Break);20080101;20091231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000192;E/2003/111 - ANNEX A2 (Eurofast PN);20080101;20081231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000243;E/2003/111 - ANNEX A & A1;20090101;20151231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000276;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000015;EADS COMPOSITES ATLANTIC 2005-2008;20050101;20081231;55769;EADS COMPOSITES ATLANTIC LTD;N/A;N/A;80
0000214;EMBRAER-SUP0310-06;20080401;20081231;55817;KAWASAKI HEAVY INDUSTRIES LTD;N/A;N/A;80
0000254;EMBRAER-SUP0310-06;20080401;20110731;55817;KAWASAKI HEAVY INDUSTRIES LTD;N/A;N/A;80
0000249;E/2003/111 - ANNEX A11 -Enable Partner;20090101;20151231;55852;GKN AEROSPACE SERVICES LTD;N/A;N/A;80
0000250;STUD_TRANSFER AIRBUS UK TO GKN;20090101;20151231;55852;GKN AEROSPACE SERVICES LTD;N/A;N/A;80
0000261;E/2003/111 - ANNEX A12 -  GKN;20090101;20091231;55852;GKN AEROSPACE SERVICES LTD;N/A;N/A;80
0000299;E/2003/111 _ ANNEXE A11 (a) _ RFP3;20090212;20151231;55852;GKN AEROSPACE SERVICES LTD;N/A;N/A;80
0000300;E/2003/111 _ ANNEXE A11 (a) _ RFP3;20090212;20151231;55852;GKN AEROSPACE SERVICES LTD;N/A;N/A;80
0000135;EMBRAER - SUP0310-06 _ 2007 PRICES;20070401;20071231;56211;EMBRAER;N/A;N/A;80
0000172;EMBRAER-SUP0310-06;20080101;20081231;56211;EMBRAER;N/A;N/A;80
0000219;EMBRAER-SUP0310-06 (2digits);20080101;20081231;56211;EMBRAER;N/A;N/A;80
0000253;EMBRAER-SUP0310-06 (2digits);20080101;20110209;56211;EMBRAER;N/A;N/A;80
0000311;E/2003/111 _ A5(a) _ RFX METRIC 2009;20090201;20151231;56216;ASTRIUM GMBH  SPACE TRANSPORTATION;N/A;N/A;80
0000317;E/2003/111 - ANNEX A5;20090324;20151231;56216;ASTRIUM GMBH  SPACE TRANSPORTATION;N/A;N/A;80
0000174;EMBRAER-SUP0310-06;20080101;20081231;56230;SONACA;N/A;N/A;80
0000226;EMBRAER-SUP0310-06;20080901;20081231;56230;SONACA;N/A;N/A;80
0000257;EMBRAER-SUP0310-06;20080901;20110731;56230;SONACA;N/A;N/A;80
0000143;RUAG CONTRAT 2827;20070801;20091231;56240;RUAG SCHWEIZ AG;N/A;N/A;80
0000203;EUROCOPTER FASTENER + _ ANNEX 9;20080310;20101231;56301;EUROCOPTER ESPANA;N/A;N/A;80
